rt,response,vdiff,participant_id
2.815,-1,-1.0,1
1.783,-1,-2.0,1
3.117,-1,0.0,1
2.834,1,1.0,1
3.35,1,-3.0,1
1.5,1,2.0,1
1.667,-1,-3.0,1
4.067,1,-1.0,1
3.867,-1,-1.0,1
1.684,-1,0.0,1
1.834,-1,-3.0,1
4.6,1,-2.0,1
1.834,-1,-3.0,1
2.234,1,1.0,1
1.533,-1,-2.0,1
1.9,-1,1.0,1
2.334,1,3.0,1
2.684,-1,-2.0,1
2.117,-1,-3.0,1
1.767,-1,-2.0,1
1.7,1,1.0,1
3.267,-1,-3.0,1
3.35,-1,0.0,1
2.85,1,0.0,1
2.167,1,3.0,1
1.933,-1,-1.0,1
3.301,-1,0.0,1
3.283,1,0.0,1
2.001,1,3.0,1
2.917,-1,-1.0,1
2.0,1,2.0,1
4.333,-1,2.0,1
2.933,-1,1.0,1
2.2,1,2.0,1
3.067,1,0.0,1
2.033,1,0.0,1
4.033,1,0.0,1
3.067,1,-3.0,1
2.784,-1,-2.0,1
3.617,-1,-3.0,1
1.483,-1,-1.0,1
2.401,-1,0.0,1
4.017,-1,0.0,1
2.134,1,-2.0,1
2.333,1,1.0,1
1.784,-1,0.0,1
5.217,1,-3.0,1
1.667,1,1.0,1
2.133,-1,0.0,1
3.334,-1,-1.0,1
2.234,-1,-2.0,1
1.967,1,1.0,1
1.467,1,2.0,1
2.05,1,3.0,1
2.5,1,1.0,1
2.416,1,1.0,1
1.95,1,0.0,1
2.217,-1,-3.0,1
4.367,1,0.0,1
1.584,-1,-3.0,1
3.434,-1,-1.0,1
1.667,-1,-1.0,1
4.366,1,2.0,1
1.783,-1,0.0,1
1.883,-1,-3.0,1
1.7,-1,0.0,1
2.45,-1,0.0,1
1.667,-1,-1.0,1
3.267,-1,1.0,1
3.184,-1,0.0,1
2.367,-1,-2.0,1
2.433,1,0.0,1
1.933,1,0.0,1
2.217,1,1.0,1
5.601,-1,-2.0,1
1.717,1,3.0,1
1.467,-1,-2.0,1
1.734,1,1.0,1
1.567,1,2.0,1
1.383,-1,-2.0,1
1.484,-1,-3.0,1
1.984,-1,-1.0,1
1.233,1,2.0,1
2.517,-1,0.0,1
3.25,-1,-2.0,1
2.3,-1,-1.0,1
1.967,1,3.0,1
1.867,-1,-1.0,1
4.4,-1,-2.0,1
1.15,1,3.0,1
1.75,1,1.0,1
3.234,1,3.0,1
4.267,1,2.0,1
1.417,-1,-3.0,1
1.917,1,2.0,1
2.633,-1,-3.0,1
3.767,-1,-1.0,1
3.133,-1,-1.0,1
2.867,-1,-3.0,1
3.217,1,2.0,1
2.034,-1,-2.0,1
4.35,-1,-3.0,1
3.551,1,2.0,1
1.7,-1,0.0,1
2.083,-1,-2.0,1
1.95,-1,-1.0,1
1.767,-1,-1.0,1
1.55,-1,-3.0,1
2.1,1,0.0,1
1.434,1,1.0,1
1.534,1,3.0,1
3.35,1,3.0,1
3.733,-1,0.0,1
2.284,1,0.0,1
3.25,1,0.0,1
3.083,1,2.0,1
3.417,-1,-1.0,1
1.45,-1,-3.0,1
1.967,1,0.0,1
1.751,-1,-2.0,1
4.017,-1,-1.0,1
2.117,1,-1.0,1
1.567,1,0.0,1
2.184,-1,-2.0,1
1.767,1,-1.0,1
2.7,1,0.0,1
1.434,1,3.0,1
1.133,1,-1.0,1
1.067,-1,-2.0,1
3.383,-1,1.0,1
2.016,-1,0.0,1
2.867,1,0.0,1
2.883,1,0.0,1
1.383,1,0.0,1
2.5,-1,-1.0,1
1.934,-1,-3.0,1
2.267,1,3.0,1
1.6,1,1.0,1
1.383,-1,0.0,1
4.7,-1,0.0,1
1.533,-1,-1.0,1
1.517,1,2.0,1
1.834,1,2.0,1
2.317,1,3.0,1
3.1,-1,-1.0,1
5.734,-1,-3.0,1
1.684,-1,3.0,1
4.183,-1,-2.0,1
1.45,1,0.0,1
1.533,1,2.0,1
2.334,1,1.0,1
1.267,1,3.0,1
2.283,1,3.0,1
1.8,1,-2.0,1
3.45,1,-1.0,1
2.3,1,-2.0,1
2.517,-1,-2.0,1
2.651,1,3.0,1
1.333,1,0.0,1
1.833,1,0.0,1
4.25,-1,-1.0,1
1.667,-1,-2.0,1
3.116,1,1.0,1
2.767,1,2.0,1
1.384,1,3.0,1
1.967,-1,-1.0,1
1.883,-1,-3.0,1
2.55,-1,-2.0,1
1.817,1,0.0,1
3.817,-1,-2.0,1
1.25,1,3.0,1
1.817,-1,-3.0,1
2.234,-1,-3.0,1
1.583,-1,0.0,1
1.333,1,2.0,1
1.616,-1,-1.0,1
3.134,1,-3.0,1
1.617,-1,0.0,1
1.4,1,2.0,1
2.617,-1,-1.0,1
1.251,-1,0.0,1
2.1,1,3.0,1
1.717,1,0.0,1
1.2,-1,3.0,1
2.983,-1,0.0,1
1.967,1,0.0,1
4.033,-1,-2.0,1
1.767,-1,0.0,1
2.717,1,-3.0,1
1.817,1,2.0,1
5.5,-1,-2.0,1
4.133,1,1.0,1
1.783,1,1.0,1
2.467,1,3.0,1
2.183,1,2.0,1
2.317,-1,-1.0,1
1.548,-1,-3.0,2
1.683,1,0.0,2
1.967,-1,-1.0,2
1.133,-1,-2.0,2
2.201,-1,0.0,2
2.017,1,2.0,2
2.501,1,0.0,2
3.167,-1,-2.0,2
2.484,1,0.0,2
1.767,-1,-1.0,2
2.2,1,0.0,2
1.284,-1,-3.0,2
1.051,-1,-3.0,2
2.283,-1,-2.0,2
1.35,-1,-1.0,2
2.2,-1,1.0,2
0.884,-1,2.0,2
1.267,-1,-3.0,2
1.866,-1,1.0,2
1.0,-1,-1.0,2
3.683,1,0.0,2
2.317,1,0.0,2
2.883,-1,-1.0,2
1.733,1,0.0,2
2.067,1,3.0,2
2.917,-1,-1.0,2
1.817,1,2.0,2
1.717,-1,-2.0,2
1.217,1,2.0,2
3.384,1,0.0,2
1.533,-1,-2.0,2
1.701,-1,-2.0,2
2.134,1,2.0,2
3.584,1,-1.0,2
2.984,1,2.0,2
1.867,-1,-2.0,2
2.634,1,1.0,2
2.4,-1,0.0,2
2.034,-1,-1.0,2
3.7,1,-1.0,2
2.501,1,1.0,2
1.367,1,3.0,2
2.217,1,0.0,2
2.117,1,-1.0,2
2.984,1,-1.0,2
1.417,1,3.0,2
1.383,1,3.0,2
1.583,1,1.0,2
2.983,-1,-1.0,2
1.884,1,3.0,2
1.517,1,3.0,2
2.667,-1,0.0,2
3.2,-1,-1.0,2
1.567,1,0.0,2
3.017,1,-2.0,2
2.034,-1,0.0,2
3.25,1,-3.0,2
2.25,1,1.0,2
2.533,1,3.0,2
2.584,-1,-2.0,2
2.651,-1,-1.0,2
2.001,-1,-3.0,2
2.05,-1,2.0,2
1.617,-1,-3.0,2
2.35,-1,0.0,2
1.867,1,-1.0,2
3.417,1,2.0,2
5.9,-1,-2.0,2
1.433,-1,-3.0,2
2.567,1,0.0,2
2.117,1,-2.0,2
1.95,1,2.0,2
3.251,-1,3.0,2
1.617,-1,3.0,2
2.95,-1,2.0,2
2.017,-1,-2.0,2
2.384,1,0.0,2
1.5,-1,2.0,2
2.584,1,0.0,2
2.85,-1,-2.0,2
1.75,-1,0.0,2
1.584,1,2.0,2
1.1,-1,-1.0,2
3.45,-1,0.0,2
1.083,-1,0.0,2
1.367,1,2.0,2
1.567,-1,0.0,2
1.3,-1,1.0,2
1.967,-1,-1.0,2
1.234,-1,3.0,2
0.884,-1,-3.0,2
3.784,1,-2.0,2
1.65,1,-1.0,2
