number,title,url,state,author,labels,comments,created_at,updated_at,age_days,days_since_update,category
1189,az.summary HTML repr ignores pandas display.max_rows (arviz-stats SummaryDataFrame),https://github.com/lnccbrown/hssm/issues/1189,open,AlexanderFengler,,1,2026-08-13T22:31:15Z,2026-08-13T22:31:19Z,3,3,Other / Bugs
1185,drift: HSSM scheduled checks failing,https://github.com/lnccbrown/hssm/issues/1185,open,github-actions,drift,1,2026-08-13T20:36:44Z,2026-08-13T20:36:48Z,3,3,CI / Release
1146,hssm.load_data() typing,https://github.com/lnccbrown/hssm/issues/1146,open,digicosmos86,,1,2026-08-06T13:32:08Z,2026-08-06T13:32:13Z,10,10,Architecture / API
1139,Reduce the number of parameters in integration tests,https://github.com/lnccbrown/hssm/issues/1139,open,digicosmos86,,1,2026-08-05T15:30:57Z,2026-08-05T15:31:01Z,11,11,Tests / Test suite
1138,Move integration tests to tests/integration folder,https://github.com/lnccbrown/hssm/issues/1138,open,digicosmos86,,1,2026-08-05T15:30:08Z,2026-08-05T15:30:12Z,11,11,Tests / Test suite
1128,plot_model_cartoon: remove the deprecation shims (two minor releases after #1124),https://github.com/lnccbrown/hssm/issues/1128,open,AlexanderFengler,,1,2026-08-02T15:59:40Z,2026-08-02T15:59:43Z,14,14,Plotting
1126,"plot_model_cartoon: kind=""kde"" with NDT-boundary-corrected kernels",https://github.com/lnccbrown/hssm/issues/1126,open,AlexanderFengler,,2,2026-08-02T15:59:37Z,2026-08-02T20:13:47Z,14,14,Plotting
1120,Misc unit tests moves,https://github.com/lnccbrown/hssm/issues/1120,open,cpaniaguam,,1,2026-07-28T19:52:46Z,2026-07-28T20:42:27Z,19,19,Tests / Test suite
1103,Organize plotting tests,https://github.com/lnccbrown/hssm/issues/1103,open,cpaniaguam,,1,2026-07-27T17:34:57Z,2026-07-27T17:35:02Z,20,20,Tests / Test suite
1102,add MAP /MLE functions,https://github.com/lnccbrown/hssm/issues/1102,open,frankmj,,1,2026-07-27T15:57:29Z,2026-07-27T15:57:33Z,20,20,Sampling / Inference
1092,Fixing a parameter with backend='jax' fails with a bare AssertionError in specifyshape,https://github.com/lnccbrown/hssm/issues/1092,open,AlexanderFengler,,1,2026-07-26T04:09:36Z,2026-07-26T04:09:40Z,21,21,Other / Bugs
1089,Group unit tests,https://github.com/lnccbrown/hssm/issues/1089,open,cpaniaguam,,1,2026-07-24T15:54:00Z,2026-07-24T15:54:16Z,23,23,Tests / Test suite
1088,Restructure tests,https://github.com/lnccbrown/hssm/issues/1088,open,digicosmos86,,1,2026-07-24T13:48:08Z,2026-07-24T13:48:12Z,23,23,Tests / Test suite
1085,New aDDM estimation function,https://github.com/lnccbrown/hssm/issues/1085,open,JamesWeiChen,,5,2026-07-22T12:24:02Z,2026-07-29T20:44:08Z,25,18,aDDM
1083,Tracking: eliminate the release-CI timeout and speed up the test suite,https://github.com/lnccbrown/hssm/issues/1083,open,AlexanderFengler,github_actions;release,1,2026-07-15T18:34:57Z,2026-07-15T18:35:02Z,32,32,CI / Release
1082,CI: pilot pytest-xdist on one slow batch,https://github.com/lnccbrown/hssm/issues/1082,open,AlexanderFengler,enhancement;github_actions,1,2026-07-15T18:34:55Z,2026-07-15T18:34:59Z,32,32,CI / Release
1081,"tests: batch of small measured trims (~5-8 min slow suite, ~1-2 min fast suite)",https://github.com/lnccbrown/hssm/issues/1081,open,AlexanderFengler,chore,1,2026-07-15T18:34:54Z,2026-07-15T18:35:11Z,32,32,Tests / Test suite
1080,tests: test_plotting_cartoon re-samples predictives in every parametrization - ship predictive groups in the cartoon fixtures,https://github.com/lnccbrown/hssm/issues/1080,open,AlexanderFengler,refactor,1,2026-07-15T18:34:52Z,2026-07-15T18:34:57Z,32,32,Tests / Test suite
1079,tests: test_sample_posterior_predictive - 4 cases x ~128 s predict over all 500 posterior draws; use a thinned fixture variant,https://github.com/lnccbrown/hssm/issues/1079,open,AlexanderFengler,refactor,1,2026-07-15T18:34:50Z,2026-07-15T18:34:54Z,32,32,Tests / Test suite
1078,tests: reduce the cloned 20-row sampler-dispatch grids to a coverage-preserving 9-row design,https://github.com/lnccbrown/hssm/issues/1078,open,AlexanderFengler,refactor;chore,1,2026-07-15T18:34:48Z,2026-07-15T18:34:53Z,32,32,Tests / Test suite
1077,CI: rebalance the slow-test batches (19.8 / 22.9 / 53.3 min -> ~29 / 29 / 29),https://github.com/lnccbrown/hssm/issues/1077,open,AlexanderFengler,github_actions;chore,1,2026-07-15T18:34:47Z,2026-07-15T18:34:51Z,32,32,CI / Release
1076,CI: coverage.yml re-runs the full suite serially (~2 h) on every main push - upload per-batch coverage instead,https://github.com/lnccbrown/hssm/issues/1076,open,AlexanderFengler,github_actions;chore,1,2026-07-15T18:34:45Z,2026-07-15T18:34:49Z,32,32,CI / Release
1075,"tests: pytest addopts cleanup - drop global --cov/--exitfirst/--capture=no, add --durations, raise --timeout",https://github.com/lnccbrown/hssm/issues/1075,open,AlexanderFengler,chore,1,2026-07-15T18:34:43Z,2026-07-15T18:34:47Z,32,32,Tests / Test suite
1074,tests: test_addm_waic_loo costs 16.6 min per CI run - deterministic timeout + untimed rerun; replace MCMC with a synthetic posterior,https://github.com/lnccbrown/hssm/issues/1074,open,AlexanderFengler,bug;chore,1,2026-07-15T18:34:41Z,2026-07-15T18:34:45Z,32,32,Tests / Test suite
1073,CI: release publish gate runs the full test suite serially in one 90-min job - reuse the 3-batch slow split,https://github.com/lnccbrown/hssm/issues/1073,open,AlexanderFengler,bug;github_actions;release,1,2026-07-15T18:34:39Z,2026-07-15T18:34:43Z,32,32,CI / Release
