,subj_idx,date,time,trialtype,cue,response,side,error,rt,reward,iti,sex,sess
0,BG01,02-20,61.288,D,2,0,R,0,0.35799999999999,3.08200000000001,-3469.542,F,1
1,BG01,02-20,104.832,D,2,0,L,0,0.459999999999994,4.23,10.256,F,1
2,BG01,02-20,122.062,D,8,1,L,0,0.27800000000002,1.904,17.23,F,1
3,BG01,02-20,134.828,D,8,1,L,0,0.389999999999986,1.274,12.766,F,1
4,BG01,02-20,193.924,D,8,1,R,0,0.363999999999976,3.96200000000002,13.372,F,1
5,BG01,02-20,205.12,S,2,0,L,0,0.389999999999986,4.66000000000003,11.196,F,1
6,BG01,02-20,214.318,S,2,0,R,0,0.881999999999977,4.298,9.19800000000001,F,1
7,BG01,02-20,222.974,D,8,1,R,0,0.560000000000002,4.63400000000002,8.65599999999998,F,1
8,BG01,02-20,237.472,D,8,1,R,0,0.343999999999994,1.18000000000001,14.498,F,1
9,BG01,02-20,245.746,D,8,1,L,0,0.348000000000013,1.12799999999999,8.274,F,1
10,BG01,02-20,251.516,D,8,1,R,0,0.600000000000023,1.86999999999998,5.76999999999998,F,1
11,BG01,02-20,257.884,S,8,1,R,0,0.673999999999978,1.17000000000002,6.36800000000002,F,1
12,BG01,02-20,266.906,S,8,1,L,0,0.310000000000002,1.22999999999996,9.02199999999999,F,1
13,BG01,02-20,273.188,D,8,1,R,0,0.415999999999997,1.02200000000005,6.28199999999998,F,1
14,BG01,02-20,280.386,S,8,1,L,0,0.24799999999999,0.97199999999998,7.19800000000004,F,1
15,BG01,02-20,286.888,D,2,0,R,0,0.407999999999959,1.322,6.50199999999995,F,1
16,BG01,02-20,294.46,D,8,1,L,0,0.391999999999996,1.012,7.572,F,1
17,BG01,02-20,332.106,S,8,1,R,0,0.538000000000011,1.22399999999999,11.286,F,1
18,BG01,02-20,343.476,S,8,1,L,0,0.384000000000015,2.01799999999997,11.37,F,1
19,BG01,02-20,364.058,D,8,1,L,0,0.994000000000028,0.97399999999999,20.582,F,1
20,BG01,02-20,387.544,D,8,1,R,0,0.403999999999996,1.714,23.486,F,1
21,BG01,02-20,398.116,D,8,1,L,0,0.906000000000006,1.118,10.572,F,1
22,BG01,02-20,404.188,D,8,1,L,0,1.20400000000001,1.55399999999997,6.072,F,1
23,BG01,02-20,411.224,S,2,0,R,1,0.348000000000013,0,7.036,F,1
24,BG01,02-20,437.982,S,2,0,L,0,0.420000000000016,1.07799999999997,26.758,F,1
25,BG01,02-20,455.952,S,8,1,L,0,0.373999999999967,1.64000000000004,17.97,F,1
26,BG01,02-20,468.97,D,8,1,L,0,0.367999999999995,1.15000000000003,13.018,F,1
27,BG01,02-20,475.744,D,8,1,L,0,0.328000000000031,1.09199999999998,6.774,F,1
28,BG01,02-20,487.762,D,8,1,R,0,0.372000000000014,1.118,12.018,F,1
29,BG01,02-20,514.094,D,8,1,L,0,0.659999999999968,1.23800000000006,26.3320000000001,F,1
30,BG01,02-20,520.836,D,8,1,L,0,0.509999999999991,1.38200000000006,6.74199999999996,F,1
31,BG01,02-20,528.052,D,2,0,R,0,0.559999999999945,1.12400000000002,7.21600000000001,F,1
32,BG01,02-20,539.332,D,8,1,L,0,0.282000000000039,1.24399999999991,11.28,F,1
33,BG01,02-20,552.316,S,2,0,R,0,0.479999999999905,1.45400000000006,7.32400000000007,F,1
34,BG01,02-20,558.326,D,2,0,L,0,1.35199999999998,4.572,6.00999999999999,F,1
35,BG01,02-20,567.576,D,8,1,L,0,0.413999999999987,1.39400000000001,9.25,F,1
36,BG01,02-20,574.87,D,8,1,R,0,0.386000000000081,1.23000000000002,7.29399999999998,F,1
37,BG01,02-20,580.916,D,8,1,L,0,0.319999999999936,1.20800000000008,6.04600000000005,F,1
38,BG01,02-20,586.57,S,8,1,L,0,0.34800000000007,1.54999999999995,5.654,F,1
39,BG01,02-20,594.202,D,8,1,L,0,0.409999999999968,1.13400000000001,7.63199999999995,F,1
40,BG01,02-20,603.186,S,2,0,R,0,1.17399999999998,1.38199999999995,8.98400000000004,F,1
41,BG01,02-20,613.352,S,2,0,R,0,0.61200000000008,1.24399999999991,10.1659999999999,F,1
42,BG01,02-20,619.338,D,8,1,R,0,0.5,2.35399999999993,5.98599999999999,F,1
43,BG01,02-20,626.588,D,8,1,R,0,0.388000000000034,1.17200000000003,7.25,F,1
44,BG01,02-20,632.542,D,8,1,L,0,1.09199999999998,1.50400000000002,5.95400000000007,F,1
45,BG01,02-20,639.518,S,8,1,L,0,0.731999999999971,3.404,6.976,F,1
46,BG01,02-20,647.722,S,8,1,L,0,0.474000000000046,1.11799999999994,8.20399999999995,F,1
47,BG01,02-20,658.472,D,8,1,R,0,0.459999999999923,1.726,10.75,F,1
48,BG01,02-20,675.924,S,2,0,R,0,0.533999999999992,2.16399999999999,17.452,F,1
49,BG01,02-20,682.482,D,8,1,R,0,0.466000000000008,3.31200000000001,6.55799999999999,F,1
50,BG01,02-20,692.984,D,8,1,L,0,0.331999999999994,0.95799999999997,10.5020000000001,F,1
51,BG01,02-20,701.806,D,8,1,L,0,0.341999999999985,1.08400000000006,8.822,F,1
52,BG01,02-20,714.984,S,2,0,L,1,0.466000000000008,0,13.178,F,1
53,BG01,02-20,722.068,D,8,1,L,0,0.305999999999926,1.00800000000004,7.08399999999995,F,1
54,BG01,02-20,733.964,D,8,1,L,0,0.48599999999999,1.47000000000003,11.8960000000001,F,1
55,BG01,02-20,758.952,S,2,0,L,0,0.375999999999976,1.06399999999996,24.9879999999999,F,1
56,BG01,02-20,861.666,D,8,1,L,0,1.13400000000001,1.43399999999997,6.38600000000008,F,1
57,BG01,02-20,913.482,S,2,0,R,0,0.622000000000071,1.22399999999993,12.554,F,1
58,BG01,02-20,941.034,S,2,0,L,0,0.478000000000066,1.16599999999994,27.552,F,1
59,BG01,02-20,954.396,D,8,1,R,0,0.716000000000008,1.58799999999997,13.362,F,1
60,BG01,02-20,978.02,S,8,1,R,0,0.434000000000083,1.05199999999991,23.624,F,1
61,BG01,02-20,1038.794,D,8,1,L,0,0.379999999999882,1.38200000000006,29.7440000000001,F,1
62,BG01,02-20,1046.912,D,8,1,L,0,0.289999999999964,1.13200000000006,8.11799999999994,F,1
63,BG01,02-20,1090.654,S,2,0,R,1,0.503999999999905,0,22.732,F,1
64,BG01,02-20,1120.718,S,8,1,R,1,0.83400000000006,0,30.0640000000001,F,1
65,BG01,02-20,1130.592,S,2,0,R,1,0.301999999999907,0,9.87400000000002,F,1
66,BG01,02-20,1140.036,D,8,1,R,0,0.456000000000131,1.29599999999982,9.44399999999996,F,1
67,BG01,02-20,1145.716,D,2,0,L,0,0.312000000000126,1.18999999999983,5.67999999999984,F,1
68,BG01,02-20,1152.072,S,2,0,R,0,0.635999999999967,1.5440000000001,6.35599999999999,F,1
69,BG01,02-20,1190.478,S,2,0,R,0,0.955999999999904,1.17800000000011,38.4060000000002,F,1
70,BG01,02-20,1211.768,S,8,1,L,1,0.658000000000129,0,21.29,F,1
71,BG01,02-20,1236.414,S,2,0,L,0,0.571999999999889,1.298,24.646,F,1
72,BG01,02-20,1265.108,D,8,1,L,0,0.708000000000084,1.09799999999996,28.694,F,1
73,BG01,02-20,1276.49,D,8,1,R,0,0.475999999999885,2.37200000000007,11.3820000000001,F,1
74,BG01,02-20,1301.954,S,2,0,R,0,0.610000000000127,1.77199999999993,25.4639999999999,F,1
75,BG01,02-20,1314.058,S,2,0,L,0,1.6880000000001,1.17800000000011,12.104,F,1
76,BG01,02-20,1323.034,D,8,1,L,0,1.30400000000009,1.08999999999992,8.97600000000011,F,1
77,BG01,02-20,1336.242,S,8,1,R,0,0.607999999999947,1.18799999999987,13.2079999999999,F,1
78,BG01,02-20,1342.764,D,8,1,L,0,0.738000000000056,1.14400000000001,6.52199999999994,F,1
79,BG01,02-20,1388.104,D,2,0,R,0,0.786000000000058,1.20799999999986,38.354,F,1
80,BG01,02-20,1414.752,S,8,1,L,0,1.88400000000001,1.46000000000004,26.6479999999999,F,1
81,BG01,02-20,1433.228,D,8,1,L,0,0.922000000000026,1.24199999999996,18.4760000000001,F,1
82,BG01,02-20,1440.812,D,8,1,R,0,0.422000000000025,1.33600000000001,7.58399999999983,F,1
83,BG01,02-20,1458.972,D,2,0,L,0,0.453999999999951,1.08999999999992,18.1600000000001,F,1
84,BG01,02-20,1470.86,D,2,0,L,0,0.323999999999842,1.25199999999995,11.8879999999999,F,1
85,BG01,02-20,1482.61,S,2,0,L,0,0.836000000000013,3.91599999999994,11.75,F,1
86,BG01,02-20,1491.358,D,8,1,R,0,0.421999999999798,1.67000000000007,8.74800000000005,F,1
87,BG01,02-20,1498.636,D,8,1,L,0,0.61200000000008,1.08799999999997,7.27800000000002,F,1
88,BG01,02-20,1504.452,S,8,1,L,0,0.485999999999876,1.36200000000008,5.81600000000003,F,1
89,BG01,02-20,1513.624,D,2,0,R,0,0.708000000000084,1.154,9.17200000000002,F,1
90,BG01,02-20,1520.026,D,2,0,L,0,0.548000000000002,1.84999999999991,6.40200000000004,F,1
91,BG01,02-20,1525.974,D,2,0,R,0,1.33400000000006,1.29599999999982,5.94799999999987,F,1
92,BG01,02-20,1533.138,S,2,0,R,0,0.69600000000014,1.99799999999982,7.16399999999999,F,1
